,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2020-08-24,281.72,283.25,280.47,283.18,278.734796037,2622765,0.0,1.0
2020-08-25,284.23,284.23,281.02,282.62,278.183586609,3346049,0.0,1.0
2020-08-26,282.61,283.61,281.57,283.43,278.980871674,2647495,0.0,1.0
2020-08-27,284.44,286.45,283.68,285.04,280.565598779,3432795,0.0,1.0
2020-08-28,286.23,287.45,285.0,286.7,282.199541012,2715534,0.0,1.0
2020-08-31,286.26,286.34,283.8919,284.28,279.817528841,4070137,0.0,1.0
2020-09-01,283.73,286.93,283.17,286.79,282.288128241,3036302,0.0,1.0
2020-09-02,288.08,292.06,287.6,291.21,286.638745511,3464294,0.0,1.0
2020-09-03,290.97,292.36,281.1,283.34,278.892284445,6118525,0.0,1.0
2020-09-04,284.91,285.79,277.01,281.77,277.346929442,7145822,0.0,1.0
2020-09-08,278.82,278.83,275.0105,275.42,271.096608251,4780144,0.0,1.0
2020-09-09,278.09,282.49,277.39,279.85,275.457068546,3488892,0.0,1.0
2020-09-10,281.13,282.17,274.85,275.79,271.460800194,3455758,0.0,1.0
2020-09-11,276.95,278.82,274.96,277.09,272.740393509,2787455,0.0,1.0
2020-09-14,278.92,281.43,278.6721,280.53,276.12639428,2371734,0.0,1.0
2020-09-15,282.42,282.9,279.88,280.58,276.175609407,2331755,0.0,1.0
2020-09-16,281.54,284.2334,280.7803,281.03,276.618545555,2668303,0.0,1.0
2020-09-17,277.69,281.15,277.09,279.57,275.181463832,3305288,0.0,1.0
2020-09-18,279.02,279.4,274.7731,276.52,272.835673996,3156714,0.6668,1.0
2020-09-21,271.58,272.17,267.05,271.44,267.823359429,5936941,0.0,1.0
2020-09-22,271.67,273.24,269.79,272.81,269.17510568,3169838,0.0,1.0
2020-09-23,274.18,274.59,267.08,267.58,264.0147897,3575918,0.0,1.0
2020-09-24,266.86,270.8777,265.27,268.1,264.527861269,4432082,0.0,1.0
2020-09-25,266.76,272.31,266.23,271.7,268.079895214,3606821,0.0,1.0
2020-09-28,275.26,277.12,274.72,275.9,272.223934816,2790187,0.0,1.0
2020-09-29,275.6,275.98,273.29,274.42,270.763654195,1980155,0.0,1.0
2020-09-30,275.0,280.17,275.0,277.5,273.802616569,4028462,0.0,1.0
2020-10-01,279.33,280.35,276.57,278.14,274.434089271,2967993,0.0,1.0
2020-10-02,274.17,278.51,273.6,276.8,273.111943302,4771602,0.0,1.0
2020-10-05,278.79,281.59,278.75,281.51,277.759187713,1862496,0.0,1.0
2020-10-06,282.54,283.52,277.24,277.72,274.01968531,4364415,0.0,1.0
2020-10-07,280.28,283.67,280.23,282.92,279.150401008,2422621,0.0,1.0
2020-10-08,284.52,284.68,282.69,284.29,280.50214726,2147964,0.0,1.0
2020-10-09,285.61,286.81,284.41,285.93,282.120296057,2549141,0.0,1.0
2020-10-12,286.95,289.61,286.68,288.46,284.616586579,2534786,0.0,1.0
2020-10-13,287.66,288.1099,286.02,286.74,282.919503694,2430643,0.0,1.0
2020-10-14,287.22,287.95,284.58,285.13,281.33095518,2269823,0.0,1.0
2020-10-15,282.03,285.4,281.66,285.04,281.242154331,3134929,0.0,1.0
2020-10-16,286.24,288.37,285.89,285.97,282.274997002,2412674,0.1168,1.0
