,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2020-11-17,293.4,293.74,291.61,292.27,290.714544907,21843463,0.0,1.0
2020-11-18,291.7,293.37,290.02,290.11,288.566040384,28069619,0.0,1.0
2020-11-19,289.48,292.7,288.85,292.38,290.823959489,22718422,0.0,1.0
2020-11-20,292.3,293.065,290.29,290.38,288.834603449,25907308,0.0,1.0
2020-11-23,291.41,292.75,288.07,290.39,288.84455023,26875588,0.0,1.0
2020-11-24,291.49,294.98,289.63,294.47,292.902836551,23850175,0.0,1.0
2020-11-25,295.44,296.94,294.59,296.28,294.703203767,23326826,0.0,1.0
2020-11-27,298.29,300.17,297.9,299.01,297.418674762,17163115,0.0,1.0
2020-11-30,299.3,299.97,294.78,299.62,298.025428354,27836232,0.0,1.0
2020-12-01,301.87,305.14,300.83,303.46,301.844991951,27283110,0.0,1.0
2020-12-02,302.22,304.195,300.35,303.85,302.232916379,23620003,0.0,1.0
2020-12-03,304.07,305.88,303.531,304.28,302.660627927,22828727,0.0,1.0
2020-12-04,304.33,305.67,303.63,305.52,303.894028672,19332081,0.0,1.0
2020-12-07,305.71,307.63,305.52,307.25,305.614821647,20850969,0.0,1.0
2020-12-08,306.76,308.6,304.95,308.29,306.649286788,18341464,0.0,1.0
2020-12-09,308.07,308.36,300.21,301.31,299.706434208,48839306,0.0,1.0
2020-12-10,299.21,303.68,298.09,302.52,300.909994612,27519544,0.0,1.0
2020-12-11,300.81,301.98,298.47,301.85,300.243560339,26760416,0.0,1.0
2020-12-14,303.08,306.05,303.01,304.04,302.421905203,28804832,0.0,1.0
2020-12-15,306.37,307.29,304.11,307.29,305.654608768,25790455,0.0,1.0
2020-12-16,307.7,309.785,306.621,308.98,307.335614621,25461890,0.0,1.0
2020-12-17,310.63,311.24,309.39,311.0,309.344864222,23730524,0.0,1.0
2020-12-18,311.66,311.98,307.61,310.06,308.409866883,41173392,0.0,1.0
2020-12-21,306.46,309.47,303.6,308.92,307.834276553,37095480,0.5613,1.0
